Description,Array
scaling,"[[1.0, 1.0, 1.0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]"
rotation,"[[236.0793008834465, 73.1346979542251, 128.10803179662747], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.3, 72.4, 128.5], [236.50494780124362, 72.9679850436276, 127.12403960974031], [235.61869682096733, 73.68038273983656, 127.608239573945], [236.53056527032967, 73.99274246370035, 127.19006086197588], [236.04798489652285, 73.99409993296575, 126.32968781065023], [235.65653670620912, 74.88559997715119, 126.83885134483207], [235.0641352882829, 74.9851649720699, 127.07638634646949], [234.16901248789648, 75.29230108856731, 126.20134738180646], [234.92261652139354, 76.06665550830802, 126.62280655479317], [235.55990207042294, 76.5981840696509, 126.23834239284122], [236.27726932122548, 76.80074675784958, 125.23943534293173], [235.63039214565651, 77.62191241872256, 124.67393460841832], [235.1401269860869, 78.42141530620054, 125.11135695539836], [235.60084056128343, 78.64038136430756, 125.68109692973078], [234.98388308802052, 79.1347993296227, 125.96927277617677], [234.83190264703984, 80.02095827194327, 126.26674832481336], [234.60971192355214, 80.5335970086755, 126.6001578886531], [235.4810005031911, 80.92353526294421, 126.60345343675783], [236.44812098229386, 81.77590409218816, 127.23475605681814], [237.07519252202115, 82.27029008471254, 128.0359168212441], [236.42893782077923, 83.22968580711083, 128.3711045518936], [235.435213734015, 84.0880685431138, 128.16508522775055], [234.683445730223, 84.66704586115243, 127.57652381906873], [235.46501121745027, 85.38420693405126, 128.26846715327923], [234.63091823593086, 86.36877827494997, 127.9710689819489], [234.8539446418317, 86.93260057829812, 127.34470371380492], [234.54486794123358, 87.85250785041107, 127.23009407642873], [234.65967673310334, 88.26456755151553, 127.29571533676054], [234.2276448665834, 88.71324481956445, 127.39097723552328], [233.50115747804588, 89.28153709372597, 127.67610361562647], [234.03452178870046, 89.82943670067077, 128.3006688964226], [233.6266616641235, 90.69624810087369, 127.39484673413264], [232.8586069405685, 89.84350057387971, 127.69007992704802], [233.02961813448005, 89.18384452354981, 128.34982411071937], [232.04179842329197, 88.88548598461793, 127.42855314723974]]"
shearing,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
topsurface,"[[-0.9825180157005269, 0.05099137818331881, 0.17904811692633085], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9803249731462985, 0.059435120824376096, 0.18822968267066958], [-0.9833866201190954, 0.04122069466160178, 0.17678124816381688], [-0.9845296997133123, 0.03599858402295338, 0.1714799473138407], [-0.9849670579306165, 0.04534095070926019, 0.16668561119750666], [-0.9863122752036608, 0.0224354018401956, 0.16335467096733716], [-0.9873507969815931, 0.026413964276453535, 0.15633523656237985], [-0.9875151667218175, 0.020476623092602442, 0.15618739834283835], [-0.988650159766788, -0.009226127745459008, 0.14995245966615223], [-0.9895491955895341, 0.012604962729900117, 0.14364367171123027], [-0.9904035252342607, 0.01810402264247023, 0.137014968407507], [-0.9911870637104391, 0.013790184130217827, 0.1317498977408814], [-0.9925202274446994, -0.005604268578984523, 0.12195158993148447], [-0.9933004319583095, -0.0052149159366984225, 0.1154428712533128], [-0.9932944329312529, 0.012944169577438984, 0.11488523831080913], [-0.9938198897350378, 0.00801160552110916, 0.1107151342139442], [-0.994661531703781, 0.011858100216480672, 0.10250767194675867], [-0.9950748289032545, 0.014495583240377993, 0.09806101646260994], [-0.9951074010148921, 0.030220935175599664, 0.09406357170817484], [-0.9944956968721601, 0.05904827678902296, 0.0865540866222024], [-0.9929807373254524, 0.08438800991009542, 0.08287290922861677], [-0.994099163867639, 0.08007192161458927, 0.07318018698123296], [-0.9961618307392336, 0.06008932184009149, 0.06364652684205625], [-0.9976962166857688, 0.03727979311196556, 0.05667871061018103], [-0.9967389863772924, 0.06346065422663222, 0.04984113161532012], [-0.9982539967213195, 0.044390383725646146, 0.038967317877957215], [-0.9987635124879465, 0.03765358272463986, 0.03246003436132609], [-0.9992737112274264, 0.030627851188958638, 0.022671232461279403], [-0.9992569342601161, 0.03389469273385885, 0.018350180858821095], [-0.999511471345236, 0.028122284366914132, 0.013636560096597805], [-0.9997603346532139, 0.02050700921670202, 0.007663930263252289], [-0.999167945110347, 0.040743260719648, 0.0018450392671995903], [-0.9998144818210362, 0.017791637551363624, -0.007379673039781205], [-0.999952769653917, 0.009574427976209778, 0.0016699671819780332], [-0.9996723350062351, 0.02402319157432517, 0.008837923385333978], [-0.9998865508485337, -0.009334634462906954, 0.011821591756895806]]"
single_correlation,"[(0.37261834740638733, 0.31505241990089417, 0.10982417315244675, 0.09755349904298782), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3502971827983856, 0.28009217977523804, 0.09882091730833054, 0.10803811252117157), (0.3776189982891083, 0.31183940172195435, 0.10633476823568344, 0.12439020723104477), (0.3948316276073456, 0.33749526739120483, 0.11032513529062271, 0.12547780573368073), (0.39681699872016907, 0.35006558895111084, 0.1059890165925026, 0.12380728870630264), (0.39899513125419617, 0.35602056980133057, 0.10572896897792816, 0.1275205761194229), (0.4119962751865387, 0.3887229561805725, 0.10879252851009369, 0.14539840817451477), (0.41229531168937683, 0.3912559449672699, 0.10353690385818481, 0.1442534327507019), (0.4187784194946289, 0.4123598039150238, 0.13896232843399048, 0.1420099288225174), (0.44426119327545166, 0.4366544485092163, 0.1311616152524948, 0.16485713422298431), (0.4647490382194519, 0.45943447947502136, 0.14066427946090698, 0.17385348677635193), (0.4730404317378998, 0.4688730835914612, 0.13082794845104218, 0.18180057406425476), (0.489231139421463, 0.5083103179931641, 0.1682458370923996, 0.18842346966266632), (0.5123372673988342, 0.543239414691925, 0.171617329120636, 0.19073280692100525), (0.5305492281913757, 0.5421979427337646, 0.16194459795951843, 0.19473578035831451), (0.5439451336860657, 0.5617900490760803, 0.16751797497272491, 0.20161953568458557), (0.5876803398132324, 0.5964901447296143, 0.16406545042991638, 0.21290342509746552), (0.608395516872406, 0.6152400374412537, 0.16650664806365967, 0.21993732452392578), (0.6404466032981873, 0.618381917476654, 0.17965136468410492, 0.22225187718868256), (0.6633691787719727, 0.630491316318512, 0.20358482003211975, 0.2222076952457428), (0.6733391880989075, 0.6281229257583618, 0.2134433388710022, 0.22728069126605988), (0.7101817727088928, 0.6672639846801758, 0.22778691351413727, 0.23393891751766205), (0.7569056153297424, 0.7287517189979553, 0.2268211841583252, 0.2448757290840149), (0.7896056771278381, 0.7797184586524963, 0.214446023106575, 0.25480982661247253), (0.8022735714912415, 0.7741960883140564, 0.22403205931186676, 0.24767279624938965), (0.846523642539978, 0.8260412812232971, 0.22495940327644348, 0.25325560569763184), (0.8729286193847656, 0.8434467911720276, 0.23021799325942993, 0.24920986592769623), (0.9069799780845642, 0.8502169847488403, 0.22847500443458557, 0.24528859555721283), (0.9103584885597229, 0.8588965535163879, 0.23122841119766235, 0.24542714655399323), (0.9277687668800354, 0.8786818385124207, 0.2276792973279953, 0.24177509546279907), (0.9484072327613831, 0.8879420161247253, 0.22287338972091675, 0.24621042609214783), (0.9237043857574463, 0.9352831840515137, 0.22142314910888672, 0.24856513738632202), (0.945698618888855, 0.9179231524467468, 0.22283169627189636, 0.25016871094703674), (0.9724745154380798, 0.8960747122764587, 0.22577975690364838, 0.24356718361377716), (0.9425901174545288, 0.9292481541633606, 0.2223222851753235, 0.2437479943037033), (0.9420345425605774, 0.9475628137588501, 0.22453349828720093, 0.23638440668582916)]"
overall_correlation,"[0.25479427696350704, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.23590122557043186, 0.2581762609758567, 0.2728146737618598, 0.2768445246957317, 0.27990528447190066, 0.29741510502521884, 0.2977404834055037, 0.3101988560291724, 0.32879186397829047, 0.3453560423088543, 0.3513462036942142, 0.3746787132919932, 0.39478793311441146, 0.3998778468480165, 0.41237030591759605, 0.43971980140924855, 0.4540821234064647, 0.4675036249284714, 0.4817678398543189, 0.4860912063655647, 0.5138612825064863, 0.5512252603830814, 0.5792998240722244, 0.5819266801487121, 0.6151608754228334, 0.630181074330125, 0.6437874114495211, 0.6481043376158084, 0.6601381895761456, 0.6704866562646707, 0.6780112950980713, 0.6799204255584572, 0.6817180584227772, 0.6820591148778109, 0.6876767490931341]"
iterations,100
time needed,"0d, 0h, 41min, 41s"
