Description,Array
scaling,"[[1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]"
rotation,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
shearing,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
topsurface,"[[6.123233995736766e-17, 0.0, -1.0], [6.123233995736766e-17, 0.0, -1.0], [6.123233995736766e-17, 0.0, -1.0], [6.123233995736766e-17, 0.0, -1.0], [6.123233995736766e-17, 0.0, -1.0], [6.123233995736766e-17, 0.0, -1.0], [6.123233995736766e-17, 0.0, -1.0], [6.123233995736766e-17, 0.0, -1.0]]"
single_correlation,"[(0.9839408993721008, 0.9824948310852051, 0.9839377999305725, 0.7498364448547363), (0.9839408993721008, 0.9824948310852051, 0.9839377999305725, 0.7498364448547363), (0.9839408993721008, 0.9824948310852051, 0.9839377999305725, 0.7498364448547363), (0.9839408993721008, 0.9824948310852051, 0.9839377999305725, 0.7498364448547363), (0.9839408993721008, 0.9824948310852051, 0.9839377999305725, 0.7498364448547363), (0.9839408993721008, 0.9824948310852051, 0.9839377999305725, 0.7498364448547363), (0.9839408993721008, 0.9824948310852051, 0.9839377999305725, 0.7498364448547363), (0.9839408993721008, 0.9824948310852051, 0.9839377999305725, 0.7498364448547363)]"
overall_correlation,"[0.930567578783364, 0.930567578783364, 0.930567578783364, 0.930567578783364, 0.930567578783364, 0.930567578783364, 0.930567578783364, 0.930567578783364]"
iterations,10
time needed,"0d, 0h, 0min, 35s"
